                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3416,                 3.7321,                 1.3045,                 0.0044,                0.40865,                0.02675,                0.01897,                0.82358,                 3.7568,                 1.0123,                 0.0001,                 0.0001,                 0.0001
                      2,                0.98438,                 3.0238,                 1.1282,                0.00621,                0.55224,                 0.0901,                0.07475,                0.81699,                 3.4451,                0.93784,             0.00019146,             0.00019146,             0.00019146
                      3,                0.92461,                 2.0765,                0.96678,                0.01271,                 0.9625,                0.28017,                0.23316,                0.80652,                 3.0916,                0.91719,             0.00026065,             0.00026065,             0.00026065
                      4,                0.95551,                 1.7529,                  0.978,                0.50108,                  0.275,                 0.4396,                0.34229,                0.82977,                 2.7813,                 0.9273,             0.00030756,             0.00030756,             0.00030756
                      5,                0.94913,                 1.5049,                 1.0018,                0.36373,                0.32083,                0.42557,                0.30172,                0.91198,                 2.6072,                0.98116,              0.0003322,              0.0003322,              0.0003322
                      6,                 0.8736,                 1.4072,                0.96015,                0.43961,                0.35893,                0.50984,                0.38154,                0.89411,                 2.4494,                 0.9302,             0.00033456,             0.00033456,             0.00033456
                      7,                0.83389,                 1.2137,                0.91894,                0.44549,                0.43143,                0.56334,                0.42766,                0.87736,                 2.3593,                0.95993,             0.00031465,             0.00031465,             0.00031465
                      8,                0.89259,                  1.217,                0.98359,                0.41774,                0.51547,                0.53309,                0.42326,                0.85183,                 2.2606,                0.95279,             0.00027246,             0.00027246,             0.00027246
                      9,                0.79605,                 1.0294,                0.92434,                0.43116,                0.56763,                0.55126,                0.45816,                0.81068,                 2.1841,                0.93331,               0.000208,               0.000208,               0.000208
                     10,                0.76965,                 1.1121,                0.91189,                 0.5651,                0.73429,                0.62951,                0.50552,                0.81242,                 2.0742,                0.93454,             0.00012126,             0.00012126,             0.00012126
