                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.341,                 6.1548,                 1.1054,                      0,                      0,                      0,                      0,                 1.3089,                 6.2131,                 1.1495,                  4e-05,                  4e-05,                  4e-05
                      2,                  1.317,                 5.6913,                 1.0632,                0.02439,                0.00122,                 0.0128,                0.00896,                 1.3023,                 6.0573,                 1.0466,             8.0376e-05,             8.0376e-05,             8.0376e-05
                      3,                  1.475,                 4.8968,                 1.0323,                0.01875,                0.13144,                0.05574,                0.03728,                 1.4062,                 5.6885,                0.94354,             0.00011909,             0.00011909,             0.00011909
                      4,                 1.4172,                 4.3792,                0.97676,                0.01847,                0.19146,                0.07785,                 0.0561,                 1.3875,                  5.071,                0.94439,             0.00015614,             0.00015614,             0.00015614
                      5,                 1.3948,                 4.0739,                0.97779,                 0.0153,                0.19756,                 0.0836,                 0.0587,                 1.3647,                 4.8062,                0.94031,             0.00018416,             0.00018416,             0.00018416
                      6,                 1.3716,                 3.8802,                0.95888,                0.58604,                0.08171,                0.09796,                0.06957,                 1.3608,                 4.3777,                0.94075,             0.00018416,             0.00018416,             0.00018416
                      7,                 1.3336,                 3.5487,                0.95144,                0.65278,                0.07586,                0.11014,                0.07542,                 1.3456,                 4.2067,                0.93954,              0.0001802,              0.0001802,              0.0001802
                      8,                 1.3307,                 3.3626,                0.95451,                0.75277,                0.13565,                 0.1317,                0.08959,                 1.3368,                 3.6888,                0.93692,             0.00017624,             0.00017624,             0.00017624
                      9,                 1.2947,                 3.1746,                 0.9469,                0.69415,                0.14274,                0.14454,                0.09856,                 1.3181,                 3.6972,                0.93052,             0.00017228,             0.00017228,             0.00017228
                     10,                 1.3044,                 3.0584,                0.95608,                0.74946,                0.12154,                0.14125,                0.09757,                 1.3157,                 3.4846,                0.93455,             0.00016832,             0.00016832,             0.00016832
                     11,                 1.2608,                 2.9665,                 0.9402,                0.66488,                0.15689,                0.16566,                0.11215,                 1.2806,                 3.2451,                0.94388,             0.00016436,             0.00016436,             0.00016436
                     12,                 1.2421,                 2.9318,                0.94199,                0.74255,                 0.1619,                0.16438,                0.11492,                 1.2887,                 3.0817,                0.94449,              0.0001604,              0.0001604,              0.0001604
                     13,                 1.2483,                 2.8319,                0.94262,                0.81988,                0.15376,                0.17518,                0.12327,                 1.2922,                 2.9773,                0.94218,             0.00015644,             0.00015644,             0.00015644
                     14,                 1.2188,                 2.6536,                0.92869,                0.86668,                0.13955,                0.17935,                0.12797,                 1.2506,                 2.9527,                0.93173,             0.00015248,             0.00015248,             0.00015248
                     15,                 1.2524,                 2.5603,                0.93481,                0.80554,                0.15663,                0.17607,                0.12367,                 1.2339,                 2.8497,                0.92965,             0.00014852,             0.00014852,             0.00014852
                     16,                 1.2086,                 2.5329,                0.92417,                0.74635,                0.18583,                0.18948,                0.13192,                 1.2289,                 2.7551,                0.92874,             0.00014456,             0.00014456,             0.00014456
                     17,                 1.1988,                 2.3593,                0.93081,                0.83093,                 0.1607,                0.19524,                0.13875,                 1.2213,                 2.6459,                0.91976,              0.0001406,              0.0001406,              0.0001406
